,STT_NAAM,MAX_SNELHEID,WKT_LAT_LNG
2168,Valkenburgerstraat,50,"52.368852 4.90493,52.368939 4.905163"
2177,Marnixstraat,50,"52.372076 4.875621,52.371456 4.876073"
2187,Marnixstraat,30,"52.366525 4.879699,52.366255 4.879832,52.365497 4.880125,52.365379 4.880213"
2193,Valkenburgerstraat,50,"52.37008 4.908177,52.370137 4.908335,52.370152 4.908509"
2194,Marnixstraat,50,"52.370799 4.876549,52.37017 4.87701,52.370022 4.877094,52.36985 4.877173,52.369602 4.877333,52.368847 4.877873"
2212,Marnixstraat,50,"52.373995 4.876267,52.374122 4.876298,52.374747 4.876692"
2217,Marnixstraat,50,"52.367067 4.879153,52.366779 4.879357,52.366644 4.879447"
2218,Marnixstraat,50,"52.366644 4.879447,52.366495 4.879576"
2225,Marnixstraat,50,"52.368706 4.877971,52.367307 4.878984,52.367067 4.879153"
2234,Valkenburgerstraat,50,"52.3684 4.904043,52.368516 4.904113,52.368591 4.90429,52.368852 4.90493"
2235,Marnixstraat,30,"52.365379 4.880213,52.365153 4.880342"
2248,Marnixstraat,50,"52.380922 4.880694,52.381102 4.880809"
2250,Marnixstraat,50,"52.3688 4.878051,52.368078 4.87855,52.367107 4.879291"
2254,Valkenburgerstraat,50,"52.370503 4.908952,52.370378 4.908724,52.370225 4.908407,52.370145 4.90823,52.37008 4.908177"
2255,Marnixstraat,50,"52.374747 4.876692,52.375158 4.876956,52.375378 4.877092"
2257,Valkenburgerstraat,50,"52.3684 4.904043,52.368431 4.904201,52.368551 4.904417,52.368818 4.905035,52.368939 4.905163"
2263,Marnixstraat,50,"52.372117 4.875787,52.371892 4.875892,52.370384 4.876964,52.3688 4.878051"
2274,Valkenburgerstraat,50,"52.368939 4.905163,52.368972 4.905342,52.369056 4.905549,52.369996 4.908038"
2286,Marnixstraat,50,"52.379635 4.87989,52.380358 4.880326,52.380869 4.880647,52.380922 4.880694"
2288,Marnixstraat,50,"52.372255 4.875844,52.372192 4.87583,52.372117 4.875787"
2289,Marnixstraat,50,"52.372255 4.875844,52.372354 4.875872,52.372634 4.875881,52.373995 4.876267"
2297,Valkenburgerstraat,50,"52.369996 4.908038,52.370057 4.908115,52.37008 4.908177"
2306,Marnixstraat,50,"52.367107 4.879291,52.366525 4.879699"
2310,Hobbemakade,50,"52.354612 4.886395,52.354289 4.886428,52.354028 4.886416"
2313,Hobbemakade,50,"52.351429 4.886005,52.351995 4.886028,52.352165 4.886065"
2327,Hobbemakade,50,"52.349727 4.885071,52.349808 4.885261,52.349854 4.885451,52.349864 4.885671,52.349847 4.885921"
2333,Hobbemakade,50,"52.353408 4.886362,52.353579 4.886407,52.354028 4.886416"
2339,Postjesweg,50,"52.364737 4.857759,52.36479 4.858427"
2342,Postjesweg,50,"52.364198 4.836571,52.364186 4.836633,52.364158 4.836679,52.364108 4.836715"
2349,Postjesweg,50,"52.364273 4.851271,52.364287 4.852199"
2355,Postjesweg,50,"52.364199 4.844378,52.364258 4.844315,52.364287 4.844262,52.364305 4.844199,52.364307 4.844134"
2357,Postjesweg,50,"52.364082 4.8351,52.364093 4.836009,52.364113 4.836341"
2358,Postjesweg,50,"52.364244 4.840456,52.364234 4.840542,52.364202 4.840604,52.364162 4.840649"
2362,Postjesweg,50,"52.364108 4.836715,52.364109 4.8369,52.364086 4.837113"
2368,Hobbemakade,50,"52.349847 4.885921,52.350692 4.885999,52.351429 4.886005"
2372,Postjesweg,50,"52.364303 4.853063,52.364303 4.853254"
2379,Hobbemakade,50,"52.355699 4.88628,52.354612 4.886395"
2391,Postjesweg,50,"52.364045 4.835102,52.364046 4.83634"
2393,Postjesweg,50,"52.364162 4.840649,52.364192 4.843921"
2397,Hobbemakade,50,"52.358738 4.886349,52.359682 4.886426,52.359817 4.886469,52.36015 4.886759"
2398,Postjesweg,50,"52.364082 4.840643,52.364114 4.841812,52.364147 4.843913"
2400,Postjesweg,50,"52.364667 4.856831,52.364695 4.857109,52.364737 4.857759"
2403,Postjesweg,50,"52.36481 4.859519,52.364734 4.859751"
2406,Postjesweg,50,"52.364046 4.83634,52.364002 4.836377,52.363971 4.836449,52.363963 4.836536"
2408,Postjesweg,50,"52.364066 4.834447,52.364082 4.8351"
2409,Postjesweg,50,"52.364303 4.853254,52.364304 4.854148"
2414,Postjesweg,50,"52.364117 4.839934,52.364098 4.840013,52.364089 4.84028"
2416,Hobbemakade,50,"52.357614 4.886259,52.358738 4.886349"
2454,Postjesweg,50,"52.364051 4.836719,52.364056 4.836905,52.364086 4.837113"
2458,Hobbemakade,50,"52.352165 4.886065,52.352309 4.886095"
2459,Postjesweg,50,"52.364117 4.839934,52.364141 4.839999,52.364157 4.840279"
2461,Postjesweg,50,"52.364199 4.844378,52.36427 4.850625,52.364273 4.851271"
