STT_NAAM,AUTO,WKT_LAT_LNG,number
MUIDERPOORT VDCT,hoofd,"52.361153 4.930377,52.361159 4.931992,52.361151 4.93211,52.361152 4.932389",122
Europaplein,plus,"52.340687 4.892134,52.341142 4.89218",123
Gooiseweg,plus,"52.325576 4.955577,52.324339 4.956572",124
Europaplein,plus,"52.340859 4.892536,52.340728 4.892516",125
Westerlengte,plus,"52.409204 4.915377,52.409227 4.915337,52.409245 4.915277",126
Van Nijenrodeweg,plus,"52.328213 4.887152,52.328628 4.888287,52.328665 4.888404,52.328683 4.888536,52.328687 4.889401,52.328698 4.889826",127
Gooiseweg,plus,"52.331444 4.950297,52.330422 4.951261",128
Van Nijenrodeweg,plus,"52.327889 4.869005,52.327893 4.869929,52.327885 4.871582",129
Van Nijenrodeweg,plus,"52.327971 4.883805,52.327976 4.884964,52.32799 4.886152",130
Baden Powellweg,plus,"52.359815 4.789155,52.358435 4.789893",131
Baden Powellweg,plus,"52.350789 4.794061,52.350488 4.794241",132
Baden Powellweg,plus,"52.358435 4.789893,52.357959 4.790149",133
Van Nijenrodeweg,plus,"52.32799 4.886152,52.328035 4.886284,52.328054 4.886416,52.328081 4.886518,52.328636 4.888037,52.328754 4.888403,52.328773 4.888549,52.328786 4.8894,52.328787 4.889825",134
Baden Powellweg,plus,"52.359886 4.788934,52.359922 4.788919,52.359958 4.788947,52.359985 4.788976,52.360003 4.78902,52.360012 4.789064",135
Westerlengte,plus,"52.409245 4.915277,52.409247 4.915224,52.409243 4.915168,52.409232 4.915123",136
Baden Powellweg,plus,"52.349017 4.79567,52.348866 4.795936,52.348296 4.796971",137
MUIDERPOORT VDCT,hoofd,"52.361288 4.930435,52.361295 4.932167,52.361287 4.932306",138
Europaplein,plus,"52.341866 4.892608,52.341094 4.892564",139
Van Nijenrodeweg,plus,"52.327929 4.878261,52.327895 4.878599,52.327899 4.879479",140
Van Nijenrodeweg,plus,"52.32799 4.886152,52.327964 4.886299,52.327982 4.88649,52.32801 4.886607,52.328213 4.887152",141
Baden Powellweg,plus,"52.356447 4.790979,52.356319 4.791037",142
Europaplein,plus,"52.343249 4.89132,52.342378 4.892168,52.342252 4.892257,52.342144 4.892317,52.342019 4.892333",143
Baden Powellweg,plus,"52.347805 4.797927,52.34774 4.797872,52.347679 4.797866,52.347613 4.797888,52.347582 4.797953",144
Baden Powellweg,plus,"52.348296 4.796971,52.347922 4.79768,52.347805 4.797927",145
Baden Powellweg,plus,"52.359815 4.789155,52.359824 4.789199,52.35986 4.789257,52.359887 4.789271,52.359932 4.789271,52.35995 4.789256",146
Europaplein,plus,"52.343236 4.891615,52.342522 4.892328,52.342388 4.892447,52.34228 4.892492,52.341974 4.892599",147
Gooiseweg,plus,"52.324339 4.956572,52.324075 4.956821",148
Van Nijenrodeweg,plus,"52.327885 4.871582,52.327874 4.873773,52.327891 4.875503",149
Baden Powellweg,plus,"52.354829 4.79186,52.35352 4.792564",150
Baden Powellweg,plus,"52.350941 4.793971,52.350789 4.794061",151
Baden Powellweg,plus,"52.350466 4.794153,52.350771 4.793973",152
Gooiseweg,plus,"52.324437 4.956292,52.32403 4.956687",153
Baden Powellweg,plus,"52.356319 4.791037,52.354829 4.79186",154
Van Nijenrodeweg,plus,"52.327899 4.879479,52.32793 4.88253",155
