,pand_id,road_ids
349,363100012104173.0,[]
350,363100012087795.0,[]
351,363100012077177.0,[]
352,363100012153561.0,"[[[52.361427, 4.924356], [52.36105, 4.924624], [52.360477, 4.925085]]]"
353,363100012153680.0,[]
354,363100012163169.0,[]
355,363100012140949.0,[]
356,363100012156871.0,[]
357,363100012127889.0,[]
358,363100012153708.0,[]
359,363100012101318.0,[]
360,363100012119238.0,[]
361,363100012100061.0,[]
362,363100012081261.0,[]
363,363100012112062.0,[]
364,363100012108076.0,[]
365,363100012122650.0,[]
366,363100012084765.0,"[[[52.36213, 4.927402], [52.362184, 4.927387], [52.362283, 4.927385], [52.362355, 4.927429], [52.362427, 4.927516], [52.362455, 4.927604]], [[52.36213, 4.927402], [52.362014, 4.927491], [52.361925, 4.927624], [52.361898, 4.927742], [52.361889, 4.927845], [52.361908, 4.927947]]]"
367,363100012136004.0,"[[[52.361908, 4.927947], [52.361953, 4.928079], [52.362007, 4.928137], [52.362071, 4.92818], [52.36216, 4.928165], [52.36225, 4.928135]], [[52.362455, 4.927604], [52.362464, 4.927707], [52.362464, 4.92778], [52.362447, 4.927927], [52.362402, 4.928001], [52.362331, 4.92809], [52.36225, 4.928135]]]"
368,363100012152816.0,"[[[52.361908, 4.927947], [52.361953, 4.928079], [52.362007, 4.928137], [52.362071, 4.92818], [52.36216, 4.928165], [52.36225, 4.928135]], [[52.362455, 4.927604], [52.362464, 4.927707], [52.362464, 4.92778], [52.362447, 4.927927], [52.362402, 4.928001], [52.362331, 4.92809], [52.36225, 4.928135]]]"
369,363100012155564.0,[]
370,363100012157257.0,[]
371,363100012165661.0,[]
372,363100012156804.0,[]
373,363100012159022.0,[]
374,363100012161823.0,[]
375,363100012164377.0,[]
376,363100012158375.0,[]
377,363100012162718.0,[]
378,363100012167383.0,[]
379,363100012166642.0,[]
380,363100012153839.0,[]
381,363100012162203.0,[]
382,363100012152963.0,[]
383,363100012156496.0,[]
384,363100012166155.0,[]
385,363100012153749.0,[]
386,363100012160613.0,[]
387,363100012161811.0,[]
388,363100012156428.0,[]
389,363100012077027.0,[]
390,363100012163188.0,[]
391,363100012161834.0,[]
392,363100012160494.0,[]
393,363100012152808.0,[]
394,363100012157097.0,[]
395,363100012156254.0,[]
396,363100012164386.0,[]
397,363100012156175.0,[]
398,363100012166853.0,[]
399,363100012163352.0,[]
400,363100012163645.0,[]
401,363100012158471.0,[]
402,363100012156646.0,[]
403,363100012156489.0,[]
404,363100012167312.0,[]
405,363100012157214.0,[]
406,363100012167118.0,[]
407,363100012154338.0,"[[[52.362772, 4.930507], [52.362376, 4.930541], [52.362304, 4.930542]]]"
408,363100012161364.0,"[[[52.362772, 4.930507], [52.362376, 4.930541], [52.362304, 4.930542]]]"
409,363100012162548.0,"[[[52.362772, 4.930507], [52.362376, 4.930541], [52.362304, 4.930542]]]"
410,363100012150820.0,[]
411,363100012158348.0,[]
412,363100012237011.0,"[[[52.362772, 4.930507], [52.362376, 4.930541], [52.362304, 4.930542]]]"
413,363100012157565.0,[]
414,363100012098831.0,[]
415,363100012092717.0,[]
416,363100012098330.0,"[[[52.361908, 4.927947], [52.361953, 4.928079], [52.362007, 4.928137], [52.362071, 4.92818], [52.36216, 4.928165], [52.36225, 4.928135]], [[52.362455, 4.927604], [52.362464, 4.927707], [52.362464, 4.92778], [52.362447, 4.927927], [52.362402, 4.928001], [52.362331, 4.92809], [52.36225, 4.928135]]]"
417,363100012103872.0,[]
418,363100012126736.0,"[[[52.36213, 4.927402], [52.362184, 4.927387], [52.362283, 4.927385], [52.362355, 4.927429], [52.362427, 4.927516], [52.362455, 4.927604]], [[52.36213, 4.927402], [52.362014, 4.927491], [52.361925, 4.927624], [52.361898, 4.927742], [52.361889, 4.927845], [52.361908, 4.927947]]]"
419,363100012117197.0,"[[[52.361908, 4.927947], [52.361953, 4.928079], [52.362007, 4.928137], [52.362071, 4.92818], [52.36216, 4.928165], [52.36225, 4.928135]], [[52.36213, 4.927402], [52.362184, 4.927387], [52.362283, 4.927385], [52.362355, 4.927429], [52.362427, 4.927516], [52.362455, 4.927604]], [[52.36213, 4.927402], [52.362014, 4.927491], [52.361925, 4.927624], [52.361898, 4.927742], [52.361889, 4.927845], [52.361908, 4.927947]]]"
420,363100012240900.0,[]
421,363100012240901.0,[]
422,363100012161099.0,[]
423,363100012124301.0,[]
424,363100012165710.0,[]
425,363100012162940.0,[]
426,363100012091109.0,[]
427,363100012163504.0,[]
428,363100012160004.0,[]
429,363100012067125.0,[]
430,363100012153295.0,[]
431,363100012101441.0,[]
432,363100012096510.0,[]
433,363100012162416.0,[]
434,363100012077887.0,[]
435,363100012156144.0,[]
436,363100012160141.0,[]
437,363100012163182.0,[]
438,363100012163071.0,[]
439,363100012084997.0,[]
440,363100012080389.0,[]
441,363100012233478.0,[]
442,363100012233469.0,[]
443,363100012233551.0,[]
444,363100012166151.0,[]
445,363100012159159.0,[]
446,363100012166606.0,[]
447,363100012155838.0,[]
448,363100012114939.0,[]
449,363100012120932.0,[]
450,363100012123212.0,[]
451,363100012089594.0,[]
452,363100012141878.0,[]
453,363100012084237.0,[]
454,363100012129113.0,[]
455,363100012236737.0,[]
456,363100012157178.0,[]
457,363100012167072.0,[]
458,363100012158627.0,[]
459,363100012166094.0,[]
460,363100012162003.0,[]
461,363100012068776.0,[]
462,363100012130490.0,[]
463,363100012153910.0,[]
464,363100012085154.0,[]
465,363100012077864.0,[]
466,363100012123127.0,[]
467,363100012098791.0,[]
468,363100012160167.0,[]
469,363100012155456.0,[]
470,363100012159021.0,[]
471,363100012157289.0,[]
472,363100012166581.0,[]
473,363100012163596.0,[]
474,363100012158513.0,[]
475,363100012166892.0,[]
476,363100012152882.0,[]
477,363100012153353.0,[]
478,363100012153624.0,[]
479,363100012163109.0,[]
480,363100012166261.0,[]
481,363100012167038.0,[]
482,363100012147206.0,[]
483,363100012156445.0,[]
484,363100012157172.0,[]
485,363100012163481.0,[]
486,363100012165907.0,[]
487,363100012153075.0,[]
488,363100012101798.0,[]
489,363100012161052.0,[]
490,363100012160610.0,[]
491,363100012153429.0,[]
492,363100012155689.0,[]
493,363100012233506.0,[]
494,363100012107257.0,[]
495,363100012085630.0,[]
496,363100012083726.0,[]
497,363100012068568.0,[]
498,363100012113158.0,[]
499,363100012150739.0,[]
500,363100012080098.0,[]
501,363100012121409.0,[]
502,363100012084849.0,[]
503,363100012237323.0,[]
504,363100012236215.0,[]
505,363100012068978.0,[]
506,363100012152617.0,[]
507,363100012160095.0,[]
508,363100012164757.0,[]
509,363100012157184.0,[]
510,363100012163976.0,[]
511,363100012158315.0,[]
512,363100012166300.0,[]
513,363100012162011.0,[]
514,363100012152645.0,[]
515,363100012162844.0,[]
516,363100012158211.0,[]
517,363100012152840.0,[]
518,363100012156962.0,[]
519,363100012163292.0,[]
520,363100012157706.0,[]
521,363100012155694.0,[]
522,363100012153601.0,[]
523,363100012159504.0,[]
524,363100012163563.0,[]
525,363100012158810.0,[]
526,363100012165312.0,[]
527,363100012164138.0,[]
528,363100012076067.0,[]
529,363100012068800.0,[]
530,363100012142606.0,[]
531,363100012233503.0,[]
532,363100012078013.0,[]
533,363100012091725.0,[]
534,363100012113547.0,[]
535,363100012084231.0,[]
536,363100012083537.0,[]
537,363100012099781.0,[]
538,363100012090074.0,[]
539,363100012070140.0,[]
540,363100012070912.0,[]
541,363100012165743.0,[]
542,363100012236516.0,[]
543,363100012157793.0,[]
544,363100012235997.0,[]
545,363100012236173.0,[]
546,363100012158540.0,[]
547,363100012164594.0,[]
548,363100012152897.0,[]
549,363100012162589.0,[]
550,363100012159603.0,[]
551,363100012158256.0,[]
552,363100012161308.0,[]
553,363100012156587.0,[]
554,363100012156048.0,[]
555,363100012161579.0,[]
556,363100012237526.0,[]
557,363100012240279.0,[]
558,363100012240318.0,[]
559,363100012241006.0,[]
560,363100012094272.0,[]
561,363100012074671.0,[]
562,363100012113463.0,[]
563,363100012110028.0,[]
564,363100012122445.0,[]
565,363100012123328.0,[]
566,363100012098180.0,[]
567,363100012088081.0,[]
568,363100012088873.0,[]
569,363100012131601.0,[]
570,363100012133198.0,[]
571,363100012081369.0,[]
572,363100012093680.0,[]
573,363100012070168.0,[]
574,363100012125852.0,[]
575,363100012084510.0,[]
576,363100012079290.0,[]
577,363100012143471.0,[]
578,363100012068510.0,[]
579,363100012135325.0,[]
580,363100012064549.0,[]
581,363100012086955.0,[]
582,363100012097742.0,[]
583,363100012138546.0,[]
